a52dec 0.7.4-10
absl-py 0.9.0-1
accounts-qml-module 0.7-2
accountsservice 0.6.55-1
acl 2.2.53-2
acorn 1:7.1.0-2
acpi 1.7-2
acpid 2.0.32-1
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adobe-source-han-sans-cn-fonts 2.001-1
adobe-source-han-serif-cn-fonts 1.001-2
adwaita-icon-theme 3.34.3-1
agda 2.6.0.1-33
aic94xx-firmware 30-9
alacritty 0.4.1-1
alsa-lib 1.2.1.2-3
alsa-plugins 1.2.1-1
alsa-topology-conf 1.2.1-1
alsa-ucm-conf 1.2.1.2-1
alsa-utils 1.2.1-2
altair 2.4.3-2
amd-ucode 20200122.1eb2408-1
amtk 5.0.2-1
analitza 19.12.2-1
android-platform 29_r04-1
android-sdk 26.1.1-1
android-sdk-build-tools r29.0.2-1
android-sdk-platform-tools 29.0.5-1
android-studio 3.5.3.0-1
antibody-bin 4.2.0-1
aom 1.0.0.errata1-1
appstream-glib 0.7.16-2
arandr 0.1.10-4
arb 2.17.0-1
archlinux-keyring 20200108-1
argon2 20190702-2
aria2 1.35.0-1
aribb24 1.0.3-2
arpack 3.7.0-2
asar 2.0.3-1
aspell 0.60.8-1
asus-fan-dkms-git v0.9.1.r83.gb3473ef-1
asus-wmi-sensors-dkms-git 51.8daafd4-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
atkmm 2.28.0-1
atool 0.39.0-6
atop 2.5.0-3
attica 5.66.0-1
attr 2.4.48-2
audiofile 0.3.6-5
audit 2.8.5-6
augeas 1.12.0-1
autoconf 2.69-6
autoconf-archive 1:2019.01.06-1
automake 1.16.1-2
autopep8 1:1.5-1
avahi 0.7+18+g1b5f401-3
baloo 5.66.0-1
baloo-widgets 19.12.2-1
base 2-2
based-connect-git r127.335c665-1
bash 5.0.011-2
bash-completion 2.10-1
bash-language-server 1.7.0-2
bat 0.12.1-1
bbswitch 0.8-287
bc 1.07.1-3
bcg729 1.0.4-4
bemenu 0.3.0-3
bic 0.9.1-2
bind-tools 9.14.10-1
binutils 2.33.1-2
binwalk 2.2.0-2
bison 3.5.1-1
blockify 3.6.3-3
blueman 2.1.1-2
bluez 5.52-2
bluez-cups 5.52-2
bluez-hid2hci 5.52-2
